product_id,product_name,product_price,product_type,user_type
10063212850641,JEEP吉普 捡漏价男士长袖t恤 秋冬新款刺绣衣衫翻领纯棉撞色中年大 8812-深卡其【纽扣款】 L_【建议115-135斤】,68.0,时尚服装,时尚达人
10043935931966,啄木鸟（TUCANO） 运动服休闲套装女春秋2022年早春新款中年休闲时尚裤两件装 粉色 XL(100斤-130斤),158.0,时尚服装,时尚达人
10056317978792,GENIOLAMODE森马集团短袖男潮牌半袖ins宽松上衣服t恤夏季加肥加大码时尚潮流 白色(像素游戏) 175/L(不起球),49.9,时尚服装,时尚达人
100010085765,花花公子（PLAYBOY）夹克男春季外套男装男士休闲潮流立领工装上衣服 卡其色 XL,199.0,时尚服装,时尚达人
10068468405608,南极人（Nanjiren）短袖t恤男夏季潮流翻领男士半袖衣服polo体恤衫商务休闲男装 浅灰色 XL,49.0,时尚服装,时尚达人
10069058228701,Walker Shop2023短袖T恤男薄款无痕压胶休闲上衣男士翻领修身衣服 BNSPL2302-黑色 3XL,999.0,时尚服装,时尚达人
100035571595,花花公子（PLAYBOY）夹克男中长款连帽外套男秋冬宽松百搭户外风运动衣服潮流男装 卡其 3XL,185.0,时尚服装,时尚达人
10058409135154,NASA官方男装潮牌联名美式假两件外套男秋冬季夹克男女新款欧美ins情侣潮流冬装上衣服宽松连帽棒球服 蓝色 XL（建议125-140斤）,146.55,时尚服装,时尚达人
10045249917450,奢号短袖t恤男ins潮牌个性潮流百搭半截袖宽松五分袖印花内搭体恤衣服 Y008白色 L(适合110~130斤),37.99,时尚服装,时尚达人
10068439065507,La Chapelle Sport连衣裙女时尚小个子RPIN新款秋装一整套温柔系穿搭女polo 杏色衬衫+黑色背带裙[两] M,76.0,时尚服装,时尚达人
10056351819895,爱心东东罗蒙品牌男装 纯棉长袖T恤男士青年潮流打底衫棉春秋新款秋衣圆领长袖T恤 白色 2XL 140-160斤,99.0,时尚服装,时尚达人
10068707363538,Aseblarm裤子男韩版潮流秋夏季学生九分宽松直筒阔腿潮牌百搭工装休闲长裤 K49黑色 S,80.0,时尚服装,时尚达人
53194209468,大鱼界线日系潮牌短袖T恤男潮流ins情侣装夏装宽松上衣服男生印花圆领体恤 白色(纯色) L(120-135斤）,37.0,时尚服装,时尚达人
10055415151168,班尼路夏季款休闲圆领印花TEE短袖T恤男趣味动物图案个性潮流情侣装时尚青年舒适简约宽松上衣 B88-88002212 XL,59.0,时尚服装,时尚达人
